Index,Ticker,Company Name
S&P 500,MMM,3M Company
S&P 500,AOS,A. O. Smith Corporation
S&P 500,ABT,Abbott Laboratories
S&P 500,ABBV,AbbVie Inc.
S&P 500,ACN,Accenture plc
S&P 500,ADBE,Adobe Inc.
S&P 500,AMD,"Advanced Micro Devices, Inc."
S&P 500,AES,The AES Corporation
S&P 500,AFL,Aflac Incorporated
S&P 500,A,"Agilent Technologies, Inc."
S&P 500,APD,"Air Products and Chemicals, Inc."
S&P 500,ABNB,"Airbnb, Inc."
S&P 500,AKAM,"Akamai Technologies, Inc."
S&P 500,ALB,Albemarle Corporation
S&P 500,ARE,"Alexandria Real Estate Equities, Inc."
S&P 500,ALGN,"Align Technology, Inc."
S&P 500,ALLE,Allegion plc
S&P 500,LNT,Alliant Energy Corporation
S&P 500,ALL,The Allstate Corporation
S&P 500,GOOGL,Alphabet Inc.
S&P 500,GOOG,Alphabet Inc.
S&P 500,MO,"Altria Group, Inc."
S&P 500,AMZN,"Amazon.com, Inc."
S&P 500,AMCR,Amcor plc
S&P 500,AEE,Ameren Corporation
S&P 500,AEP,"American Electric Power Company, Inc."
S&P 500,AXP,American Express Company
S&P 500,AIG,"American International Group, Inc."
S&P 500,AMT,American Tower Corporation
S&P 500,AWK,"American Water Works Company, Inc."
S&P 500,AMP,"Ameriprise Financial, Inc."
S&P 500,AME,"AMETEK, Inc."
S&P 500,AMGN,Amgen Inc.
S&P 500,APH,Amphenol Corporation
S&P 500,ADI,"Analog Devices, Inc."
S&P 500,ANSS,"ANSYS, Inc."
S&P 500,AON,Aon plc
S&P 500,APA,APA Corporation
S&P 500,APO,"Apollo Global Management, Inc."
S&P 500,AAPL,Apple Inc.
S&P 500,AMAT,"Applied Materials, Inc."
S&P 500,APTV,Aptiv PLC
S&P 500,ACGL,Arch Capital Group Ltd.
S&P 500,ADM,Archer-Daniels-Midland Company
S&P 500,ANET,Arista Networks Inc
S&P 500,AJG,Arthur J. Gallagher & Co.
S&P 500,AIZ,"Assurant, Inc."
S&P 500,T,AT&T Inc.
S&P 500,ATO,Atmos Energy Corporation
S&P 500,ADSK,"Autodesk, Inc."
S&P 500,ADP,"Automatic Data Processing, Inc."
S&P 500,AZO,"AutoZone, Inc."
S&P 500,AVB,"AvalonBay Communities, Inc."
S&P 500,AVY,Avery Dennison Corporation
S&P 500,AXON,"Axon Enterprise, Inc."
S&P 500,BKR,Baker Hughes Company
S&P 500,BALL,Ball Corporation
S&P 500,BAC,Bank of America Corporation
S&P 500,BAX,Baxter International Inc.
S&P 500,BDX,"Becton, Dickinson and Company"
S&P 500,BRK.B,N/A
S&P 500,BBY,"Best Buy Co., Inc."
S&P 500,TECH,Bio-Techne Corporation
S&P 500,BIIB,Biogen Inc.
S&P 500,BLK,"BlackRock, Inc."
S&P 500,BX,Blackstone Inc.
S&P 500,BK,The Bank of New York Mellon Corporation
S&P 500,BA,The Boeing Company
S&P 500,BKNG,Booking Holdings Inc.
S&P 500,BWA,BorgWarner Inc.
S&P 500,BSX,Boston Scientific Corporation
S&P 500,BMY,Bristol-Myers Squibb Company
S&P 500,AVGO,Broadcom Inc.
S&P 500,BR,"Broadridge Financial Solutions, Inc."
S&P 500,BRO,"Brown & Brown, Inc."
S&P 500,BF.B,N/A
S&P 500,BLDR,"Builders FirstSource, Inc."
S&P 500,BG,Bunge Global SA
S&P 500,BXP,"BXP, Inc."
S&P 500,CHRW,"C.H. Robinson Worldwide, Inc."
S&P 500,CDNS,"Cadence Design Systems, Inc."
S&P 500,CZR,"Caesars Entertainment, Inc."
S&P 500,CPT,Camden Property Trust
S&P 500,CPB,The Campbell's Company
S&P 500,COF,Capital One Financial Corporation
S&P 500,CAH,"Cardinal Health, Inc."
S&P 500,KMX,"CarMax, Inc."
S&P 500,CCL,Carnival Corporation & plc
S&P 500,CARR,Carrier Global Corporation
S&P 500,CAT,Caterpillar Inc.
S&P 500,CBOE,"Cboe Global Markets, Inc."
S&P 500,CBRE,"CBRE Group, Inc."
S&P 500,CDW,CDW Corporation
S&P 500,CE,Celanese Corporation
S&P 500,COR,"Cencora, Inc."
S&P 500,CNC,Centene Corporation
S&P 500,CNP,"CenterPoint Energy, Inc."
S&P 500,CF,"CF Industries Holdings, Inc."
S&P 500,CRL,"Charles River Laboratories International, Inc."
S&P 500,SCHW,The Charles Schwab Corporation
S&P 500,CHTR,"Charter Communications, Inc."
S&P 500,CVX,Chevron Corporation
S&P 500,CMG,"Chipotle Mexican Grill, Inc."
S&P 500,CB,Chubb Limited
S&P 500,CHD,"Church & Dwight Co., Inc."
S&P 500,CI,The Cigna Group
S&P 500,CINF,Cincinnati Financial Corporation
S&P 500,CTAS,Cintas Corporation
S&P 500,CSCO,"Cisco Systems, Inc."
S&P 500,C,Citigroup Inc.
S&P 500,CFG,"Citizens Financial Group, Inc."
S&P 500,CLX,The Clorox Company
S&P 500,CME,CME Group Inc.
S&P 500,CMS,CMS Energy Corporation
S&P 500,KO,The Coca-Cola Company
S&P 500,CTSH,Cognizant Technology Solutions Corporation
S&P 500,CL,Colgate-Palmolive Company
S&P 500,CMCSA,Comcast Corporation
S&P 500,CAG,"Conagra Brands, Inc."
S&P 500,COP,ConocoPhillips
S&P 500,ED,"Consolidated Edison, Inc."
S&P 500,STZ,"Constellation Brands, Inc."
S&P 500,CEG,Constellation Energy Corporation
S&P 500,COO,"The Cooper Companies, Inc."
S&P 500,CPRT,"Copart, Inc."
S&P 500,GLW,Corning Incorporated
S&P 500,CPAY,"Corpay, Inc."
S&P 500,CTVA,"Corteva, Inc."
S&P 500,CSGP,"CoStar Group, Inc."
S&P 500,COST,Costco Wholesale Corporation
S&P 500,CTRA,Coterra Energy Inc.
S&P 500,CRWD,"CrowdStrike Holdings, Inc."
S&P 500,CCI,Crown Castle Inc.
S&P 500,CSX,CSX Corporation
S&P 500,CMI,Cummins Inc.
S&P 500,CVS,CVS Health Corporation
S&P 500,DHR,Danaher Corporation
S&P 500,DRI,"Darden Restaurants, Inc."
S&P 500,DVA,DaVita Inc.
S&P 500,DAY,Dayforce Inc
S&P 500,DECK,Deckers Outdoor Corporation
S&P 500,DE,Deere & Company
S&P 500,DELL,Dell Technologies Inc.
S&P 500,DAL,"Delta Air Lines, Inc."
S&P 500,DVN,Devon Energy Corporation
S&P 500,DXCM,"DexCom, Inc."
S&P 500,FANG,"Diamondback Energy, Inc."
S&P 500,DLR,"Digital Realty Trust, Inc."
S&P 500,DFS,Discover Financial Services
S&P 500,DG,Dollar General Corporation
S&P 500,DLTR,"Dollar Tree, Inc."
S&P 500,D,"Dominion Energy, Inc."
S&P 500,DPZ,"Domino's Pizza, Inc."
S&P 500,DOV,Dover Corporation
S&P 500,DOW,Dow Inc.
S&P 500,DHI,"D.R. Horton, Inc."
S&P 500,DTE,DTE Energy Company
S&P 500,DUK,Duke Energy Corporation
S&P 500,DD,"DuPont de Nemours, Inc."
