Ticker,Company Name,Market Cap,P/E Ratio,Dividend Yield,Sector,Industry,Currency,Market Cap USD,Market
MMM,3M Company,81751285760.0,20.873276,0.0199,Industrials,Conglomerates,USD,81751285760.0,S&P 500
AOS,A. O. Smith Corporation,10036554752.0,18.263853,0.0196,Industrials,Specialty Industrial Machinery,USD,10036554752.0,S&P 500
ABT,Abbott Laboratories,221768056832.0,16.713726,0.0202,Healthcare,Medical Devices,USD,221768056832.0,S&P 500
ABBV,AbbVie Inc.,309708947456.0,61.066204,0.0374,Healthcare,Drug Manufacturers - General,USD,309708947456.0,S&P 500
ACN,Accenture plc,234192224256.0,31.358461,0.017,Technology,Information Technology Services,USD,234192224256.0,S&P 500
ADBE,Adobe Inc.,192263307264.0,35.705738,,Technology,Software - Infrastructure,USD,192263307264.0,S&P 500
AMD,"Advanced Micro Devices, Inc.",190436753408.0,103.849556,,Technology,Semiconductors,USD,190436753408.0,S&P 500
AES,The AES Corporation,7927950848.0,7.743055,0.0622,Utilities,Utilities - Diversified,USD,7927950848.0,S&P 500
AFL,Aflac Incorporated,59785924608.0,15.991085,0.0216,Financial Services,Insurance - Life,USD,59785924608.0,S&P 500
A,"Agilent Technologies, Inc.",42008170496.0,33.20316,,N/A,N/A,USD,42008170496.0,S&P 500
APD,"Air Products and Chemicals, Inc.",72786870272.0,18.974493,0.0219,Basic Materials,Specialty Chemicals,USD,72786870272.0,S&P 500
ABNB,"Airbnb, Inc.",82832269312.0,46.03472,,Consumer Cyclical,Travel Services,USD,82832269312.0,S&P 500
AKAM,"Akamai Technologies, Inc.",15084294144.0,29.7071,,Technology,Software - Infrastructure,USD,15084294144.0,S&P 500
ALB,Albemarle Corporation,10141350912.0,,0.0188,Basic Materials,Specialty Chemicals,USD,10141350912.0,S&P 500
ARE,"Alexandria Real Estate Equities, Inc.",16580483072.0,53.216667,0.051999997,Real Estate,REIT - Office,USD,16580483072.0,S&P 500
ALGN,"Align Technology, Inc.",16755889152.0,38.302048,,Healthcare,Medical Instruments & Supplies,USD,16755889152.0,S&P 500
ALLE,Allegion plc,11387738112.0,20.153847,0.0147,Industrials,Security & Protection Services,USD,11387738112.0,S&P 500
LNT,Alliant Energy Corporation,15034135552.0,22.797667,0.0346,Utilities,Utilities - Regulated Electric,USD,15034135552.0,S&P 500
ALL,The Allstate Corporation,50527059968.0,12.334195,0.019299999,Financial Services,Insurance - Property & Casualty,USD,50527059968.0,S&P 500
GOOGL,Alphabet Inc.,2401803698176.0,25.916447,0.0041,Communication Services,Internet Content & Information,USD,2401803698176.0,S&P 500
GOOG,Alphabet Inc.,2401809989632.0,26.18592,0.0041,Communication Services,Internet Content & Information,USD,2401809989632.0,S&P 500
MO,"Altria Group, Inc.",89248694272.0,8.89527,0.0775,Consumer Defensive,Tobacco,USD,89248694272.0,S&P 500
AMZN,"Amazon.com, Inc.",2492791259136.0,50.764454,,Consumer Cyclical,Internet Retail,USD,2492791259136.0,S&P 500
AMCR,Amcor plc,14092065792.0,18.396227,0.0523,Consumer Cyclical,Packaging & Containers,USD,14092065792.0,S&P 500
AEE,Ameren Corporation,24768249856.0,21.832941,0.028900001,Utilities,Utilities - Regulated Electric,USD,24768249856.0,S&P 500
AEP,"American Electric Power Company, Inc.",52217999360.0,19.768147,0.0379,Utilities,Utilities - Regulated Electric,USD,52217999360.0,S&P 500
AXP,American Express Company,221305503744.0,22.517857,0.0086,Financial Services,Credit Services,USD,221305503744.0,S&P 500
AIG,"American International Group, Inc.",47038423040.0,14.992048,0.0212,Financial Services,Insurance - Diversified,USD,47038423040.0,S&P 500
AMT,American Tower Corporation,85808283648.0,44.24819,0.0353,Real Estate,REIT - Specialty,USD,85808283648.0,S&P 500
AWK,"American Water Works Company, Inc.",24215578624.0,24.652779,0.024600001,Utilities,Utilities - Regulated Water,USD,24215578624.0,S&P 500
AMP,"Ameriprise Financial, Inc.",55796006912.0,21.97669,0.010299999,Financial Services,Asset Management,USD,55796006912.0,S&P 500
AME,"AMETEK, Inc.",42218336256.0,31.853403,0.0061000003,Industrials,Specialty Industrial Machinery,USD,42218336256.0,S&P 500
AMGN,Amgen Inc.,151412293632.0,35.974457,0.033800002,Healthcare,Drug Manufacturers - General,USD,151412293632.0,S&P 500
APH,Amphenol Corporation,83645218816.0,36.135418,0.0091,Technology,Electronic Components,USD,83645218816.0,S&P 500
ADI,"Analog Devices, Inc.",104146001920.0,64.192665,0.0165,Technology,Semiconductors,USD,104146001920.0,S&P 500
ANSS,"ANSYS, Inc.",30283061248.0,53.439816,,Technology,Software - Application,USD,30283061248.0,S&P 500
AON,Aon plc,79313387520.0,31.45283,0.0074,Financial Services,Insurance Brokers,USD,79313387520.0,S&P 500
APA,APA Corporation,8575371776.0,3.2926137,0.0431,Energy,Oil & Gas E&P,USD,8575371776.0,S&P 500
APO,"Apollo Global Management, Inc.",96811122688.0,18.086681,0.0108,Financial Services,Asset Management,USD,96811122688.0,S&P 500
AAPL,Apple Inc.,3599471738880.0,39.368423,0.0042,Technology,Consumer Electronics,USD,3599471738880.0,S&P 500
AMAT,"Applied Materials, Inc.",142450229248.0,20.357725,0.0086,Technology,Semiconductor Equipment & Materials,USD,142450229248.0,S&P 500
APTV,Aptiv PLC,14732056576.0,6.9799557,,Consumer Cyclical,Auto Parts,USD,14732056576.0,S&P 500
ACGL,Arch Capital Group Ltd.,35299020800.0,6.296644,,Financial Services,Insurance - Diversified,USD,35299020800.0,S&P 500
ADM,Archer-Daniels-Midland Company,24721068032.0,14.511236,0.0379,Consumer Defensive,Farm Products,USD,24721068032.0,S&P 500
ANET,Arista Networks Inc,135852515328.0,51.846153,,Technology,Computer Hardware,USD,135852515328.0,S&P 500
AJG,Arthur J. Gallagher & Co.,73467068416.0,56.23327,0.0082,Financial Services,Insurance Brokers,USD,73467068416.0,S&P 500
AIZ,"Assurant, Inc.",11124750336.0,15.504646,0.0148,Financial Services,Insurance - Property & Casualty,USD,11124750336.0,S&P 500
T,AT&T Inc.,173874479104.0,16.261745,0.048899997,Communication Services,Telecom Services,USD,173874479104.0,S&P 500
ATO,Atmos Energy Corporation,21919164416.0,20.64861,0.023699999,Utilities,Utilities - Regulated Gas,USD,21919164416.0,S&P 500
ADSK,"Autodesk, Inc.",65551372288.0,60.591637,,Technology,Software - Application,USD,65551372288.0,S&P 500
ADP,"Automatic Data Processing, Inc.",122301939712.0,31.342024,0.020599999,Technology,Software - Application,USD,122301939712.0,S&P 500
AZO,"AutoZone, Inc.",55617052672.0,22.17349,,Consumer Cyclical,Specialty Retail,USD,55617052672.0,S&P 500
AVB,"AvalonBay Communities, Inc.",30573840384.0,29.324694,0.031600002,Real Estate,REIT - Residential,USD,30573840384.0,S&P 500
AVY,Avery Dennison Corporation,15499624448.0,23.158464,0.0182,Consumer Cyclical,Packaging & Containers,USD,15499624448.0,S&P 500
AXON,"Axon Enterprise, Inc.",48800780288.0,166.65884,,Industrials,Aerospace & Defense,USD,48800780288.0,S&P 500
BKR,Baker Hughes Company,42618884096.0,19.313902,0.0195,Energy,Oil & Gas Equipment & Services,USD,42618884096.0,S&P 500
BALL,Ball Corporation,16511909888.0,23.054167,0.0145000005,Consumer Cyclical,Packaging & Containers,USD,16511909888.0,S&P 500
BAC,Bank of America Corporation,355807690752.0,14.563863,0.0221,Financial Services,Banks - Diversified,USD,355807690752.0,S&P 500
BAX,Baxter International Inc.,16737074176.0,131.12,0.0207,Healthcare,Medical Instruments & Supplies,USD,16737074176.0,S&P 500
BDX,"Becton, Dickinson and Company",71602970624.0,42.205128,0.0175,Healthcare,Medical Instruments & Supplies,USD,71602970624.0,S&P 500
BRK.B,N/A,,,,N/A,N/A,USD,,S&P 500
BBY,"Best Buy Co., Inc.",18191900672.0,14.570205,0.0404,Consumer Cyclical,Specialty Retail,USD,18191900672.0,S&P 500
TECH,Bio-Techne Corporation,11413212160.0,75.61053,0.0045,Healthcare,Biotechnology,USD,11413212160.0,S&P 500
BIIB,Biogen Inc.,21043281920.0,13.056962,,Healthcare,Drug Manufacturers - General,USD,21043281920.0,S&P 500
BLK,"BlackRock, Inc.",163027189760.0,25.062143,0.0212,Financial Services,Asset Management,USD,163027189760.0,S&P 500
BX,Blackstone Inc.,224843694080.0,63.704468,0.0186,Financial Services,Asset Management,USD,224843694080.0,S&P 500
BK,The Bank of New York Mellon Corporation,61749186560.0,14.834482,0.0248,Financial Services,Banks - Diversified,USD,61749186560.0,S&P 500
